index,Country_Code,Country_Name,Continent_Name,Years,GDP,Expenditures,PopTotal,Departure,Receipts,Arrivals,Jobs,Receipts_PCapita,Ratio GDP,AVG_Exp_Arrivals,Jobs_per_tourist,Cos_of_oneJob,GDP_N,Expenditures_N,PopTotal_N,Arrivals_N,Departure_N
WLD2000,WLD,World,,2000,5492.57777149425,536815121209.44,6115108363.0,829615668.8702741,570988410932.603,677386990.330029,0.0,93.37339210330573,0.01699992171033085,792.4792310343882,0.0,inf,-0.3415511356947572,2.8924974003932116,5.438105485942626,3.8876947053342517,4.2178642694219315
WLD2001,WLD,World,,2001,5391.239108142029,526996945772.116,6194460444.0,840120739.5213469,562232181293.876,678246237.594481,0.0,90.76370514859906,0.016835407098068546,776.9994384947905,0.0,inf,-0.3421969686579341,2.833602446666351,5.512032655699396,3.89305882158396,4.275392229675225
WLD2002,WLD,World,,2002,5527.01393782582,552294025016.805,6273526441.0,845298488.433861,588750384847.9879,698431588.301475,0.0,93.84680058097294,0.016979656942549663,790.7632390452674,0.0,inf,-0.3413316734420821,2.985348595536019,5.585693299611271,4.0190721034563195,4.303746663789403
WLD2003,WLD,World,,2003,6123.76663934434,608289545573.786,6352677699.0,843789290.114712,646413409181.215,689071739.21153,0.0,101.75447894719568,0.01661632210042712,882.7666423670503,0.0,inf,-0.33752855869045006,3.321241309326608,5.6594333756481925,3.960640356652667,4.295481978686169
WLD2004,WLD,World,,2004,6811.87884922482,711122205463.597,6432374971.0,916382454.577917,769414432083.729,761468261.1683309,0.0,119.61591722382333,0.017559900854290062,933.8829229369492,0.0,inf,-0.33314320829402067,3.9380896009956645,5.733682137395165,4.412597989707802,4.69301730411242
WLD2005,WLD,World,,2005,7287.01074840316,772192734812.3829,6512602867.0,976573243.298968,816987861687.41,808774225.286775,0.0,125.44721033538956,0.01721518118562944,954.7692182432977,0.0,inf,-0.33011518490989866,4.304425079825928,5.808425246990748,4.70792007141113,5.022634630465701
WLD2006,WLD,World,,2006,7802.73520313027,822435641642.8109,6593623202.0,1000618146.3288599,883266088224.861,857088654.563029,0.0,133.95762256432027,0.017168033910798318,959.5689282132835,0.0,inf,-0.3268284645036749,4.605810372008843,5.883906620431923,5.009537808118634,5.154309539825462
WLD2007,WLD,World,,2007,8684.22945531648,950154179949.4509,6675130418.0,1069866871.28422,1022579969984.94,920175482.3771961,0.0,153.1925080036601,0.017640310955841423,1032.579326602799,0.0,inf,-0.3212106871807781,5.371938198064677,5.959841589215334,5.403376802108722,5.533530016216671
WLD2008,WLD,World,,2008,9412.944808700591,1035593765387.33,6757887172.0,1100156576.6219401,1122335856625.44,936360913.440568,0.0,166.07792170245483,0.017643566925936438,1105.977140355144,0.0,inf,-0.31656657228503704,5.884453019472016,6.036940671235342,5.504419351055253,5.699402766874884
WLD2009,WLD,World,,2009,8820.01759667824,923536680556.2859,6840591577.0,1059959001.97014,1010312995705.45,897533847.971687,0.0,147.69380459760345,0.016745295911113293,1028.9714227974378,0.0,inf,-0.3203453071293841,5.212271424427104,6.113990983098842,5.262029411131574,5.4792724551752325
WLD2010,WLD,World,,2010,9540.910251116271,1004990531657.29,6922947261.0,1140059121.5652301,1098725788456.3,956372259.6743599,0.0,158.7078085436104,0.01663445146913963,1050.8361378021195,0.0,inf,-0.31575104642229396,5.7008775633265465,6.190716414300866,5.629346356298241,5.917917434291079
WLD2011,WLD,World,,2011,10478.7374222174,1117835455589.2,7004011262.0,1190658941.6033,1230969387877.69,997555261.4794949,0.0,175.7520571898946,0.016772255101770057,1120.5749683795111,0.0,inf,-0.3097742584834708,6.3777850616399325,6.266238468512525,5.8864439559461985,6.195012613624934
WLD2012,WLD,World,,2012,10594.7788808904,1184404350701.24,7086993625.0,1246496269.0193,1286529311038.97,1054602152.04061,0.0,181.5338603523818,0.01713427551374488,1123.081674363615,0.0,inf,-0.30903472436463536,6.7771028393980774,6.343547735755547,6.242576777444743,6.500789476906637
WLD2013,WLD,World,,2013,10770.7057791645,1264413521229.56,7170961674.0,1311315546.7365901,1380259380181.22,1106732071.67101,0.0,192.47897882172114,0.017870600382944638,1142.474817161911,0.0,inf,-0.3079135393572905,7.257042969422299,6.421775302497847,6.56801389031556,6.855753375391849
WLD2014,WLD,World,,2014,10933.913918387,1411754496352.79,7255653881.0,1334402137.81317,1453293534872.74,1159450156.34245,0.0,200.29807908538794,0.01831897347834036,1217.6068877391403,0.0,inf,-0.3068734112099289,8.140877238564089,6.500677520121661,6.897122804988578,6.982180368408014
WLD2015,WLD,World,,2015,10223.959645166,1352434430414.05,7340548192.0,1397711354.88687,1402811742082.08,1206215744.4233902,0.0,191.1044932054143,0.018691827808198617,1121.221005998854,0.0,inf,-0.3113979614341681,7.785042026529151,6.579768024889659,7.189071422494059,7.328874859521307
WLD2016,WLD,World,,2016,10256.2406318694,1366098394553.76,7426103221.0,1475136054.1881402,1422150366233.78,1250467517.2553802,0.0,191.50694838339092,0.018672236276157363,1092.470116738558,0.0,inf,-0.31119223417660136,7.867006189918865,6.659474077619749,7.465326772434401,7.752868678503546
WLD2017,WLD,World,,2017,10777.628631932801,1449151379459.18,7510990456.0,1566927066.23023,1525677407603.49,1341456973.64325,0.0,203.1259947061621,0.018847002586851482,1080.2816698052147,0.0,inf,-0.30786941990308525,8.365204835289122,6.738557990139042,8.033356537269974,8.25553542561653
EUU2000,EUU,European Union,,2000,18261.9651889428,225139379000.0,488221138.0,340783085.927046,238185696000.0,324840000.0,0.0,487.86436608568147,0.0267147791071835,693.0777582809999,0.0,inf,-0.26017162030584284,1.0228905134120874,0.19590084754407633,1.6868113067457469,1.5409149812036305
EUU2001,EUU,European Union,,2001,18457.8892661769,224183868600.0,489015301.0,340633646.89412403,236110419000.0,320374000.0,0.0,482.8282847534049,0.026158369344980417,699.756748674986,0.0,inf,-0.25892299294909554,1.0171588231247448,0.1966407175282743,1.6589309233424028,1.5400966218577703
EUU2002,EUU,European Union,,2002,20055.329394843302,240569103600.0,490252423.0,340737833.262147,250570491000.0,325998000.0,0.0,511.10505373269723,0.02548474989715773,737.9465628623489,0.0,inf,-0.24874248081614528,1.115446703932032,0.1977932635856844,1.6940404791553019,1.540667168162278
EUU2003,EUU,European Union,,2003,24310.2537470863,284800218900.0,492063516.0,346905876.726608,292487284000.0,327323000.0,0.0,594.4096127622679,0.024450983479903446,870.0892357090703,0.0,inf,-0.22162577815201606,1.3807698798632755,0.19948054107064786,1.7023122006083764,1.5744446620078671
EUU2004,EUU,European Union,,2004,27960.0481158746,322397691900.0,494028141.0,356707578.06104,339516697000.0,337254000.0,0.0,687.2416140359097,0.024579414569952808,955.9492011955381,0.0,inf,-0.19836557879465894,1.60630072790294,0.2013108543283858,1.7643095332502507,1.6281208250257964
EUU2005,EUU,European Union,,2005,29115.6293715456,339481909000.0,495983155.0,378798534.382903,348520621000.0,354140000.0,0.0,702.6864067591166,0.024134336846788024,958.6093324673858,0.0,inf,-0.19100104050439462,1.7087814975721338,0.20313221364289277,1.8697256000099616,1.7490955142451947
EUU2006,EUU,European Union,,2006,30960.561424041298,354571462000.0,497844869.0,380570623.29531,377071047000.0,374184000.0,0.0,757.4067153838639,0.024463597575324562,947.5858454664016,0.0,inf,-0.17924325828279652,1.7992971469783974,0.20486665141921973,1.9948564564668871,1.7587998431263947
EUU2007,EUU,European Union,,2007,35630.9377154431,408117224000.0,499790863.0,403096616.474319,430856193000.0,385690000.0,0.0,862.0729687089138,0.024194506908395946,1058.1483160050818,0.0,inf,-0.1494788735983121,2.1204948272796784,0.20667960738673438,2.0666862127227934,1.8821568850074626
EUU2008,EUU,European Union,,2008,38185.6238045565,442528088000.0,501683669.0,414455496.72233796,459266919000.0,381160000.0,0.0,915.4512043723712,0.023973713485941142,1161.0034841011648,0.0,inf,-0.1331978172636309,2.326910597288944,0.20844301155604197,2.0384062895662445,1.9443604848817015
EUU2009,EUU,European Union,,2009,34019.2785907966,381016451000.0,503194070.0,387566878.223059,396699917000.0,362912000.0,0.0,788.3636565907861,0.02317402629472766,1049.8866143858565,0.0,inf,-0.15975000362578998,1.957929105981855,0.20985015387317663,1.924487517433637,1.797112795868349
EUU2010,EUU,European Union,,2010,33740.6463712077,378119804000.0,504298777.0,388360513.800417,390458675000.0,371843000.0,0.0,774.2606026585704,0.022947414644648872,1016.8802532251515,0.0,inf,-0.16152573132991604,1.9405533835661077,0.21087933749245047,1.9802420414316815,1.8014589099942153
EUU2011,EUU,European Union,,2011,36506.6388217725,408409334000.0,504005894.0,394320441.20567,442231541000.0,391940000.0,0.0,877.4332726354982,0.02403489614366246,1042.0200387814461,0.0,inf,-0.1438980160889499,2.1222470678098033,0.21060647746172398,2.10570376674673,1.834096716846746
EUU2012,EUU,European Union,,2012,34328.8216193455,394022470000.0,505096232.0,394282649.03532004,436128126000.0,402158000.0,0.0,863.4555127704853,0.025152494960208528,979.7703141551331,0.0,inf,-0.15777728082932246,2.035946543342339,0.21162227441881018,2.1694927854693837,1.8338897590312309
EUU2013,EUU,European Union,,2013,35683.8587891225,415537000000.0,506597697.0,404807940.477742,468127000000.0,421266000.0,0.0,924.0606555698574,0.02589576035009808,986.4005165382442,0.0,inf,-0.14914160672801524,2.165002828483492,0.21302109164628588,2.2887803730356846,1.891528452559878
EUU2014,EUU,European Union,,2014,36787.2310061639,437148000000.0,508193856.0,393425059.649229,494598000000.0,442143000.0,0.0,973.2467131597907,0.026456101384654852,988.7027500152666,0.0,inf,-0.14210979749700028,2.2946377950937533,0.2145081291110223,2.4191114890929204,1.8291934204957396
EUU2015,EUU,European Union,,2015,32319.453242213902,392044000000.0,509717579.0,415826094.126207,453929000000.0,463726000.0,0.0,890.5500196609856,0.027554612789606164,845.4216498535774,0.0,inf,-0.17058301844406012,2.024078564424686,0.21592768266858173,2.5538500280527,1.9518661624341882
EUU2016,EUU,European Union,,2016,32425.1309825728,399799000000.0,511218529.0,443469021.562963,460798000000.0,484642000.0,0.0,901.3718671374684,0.027798557471422996,824.9367574415754,0.0,inf,-0.1699095324719726,2.0705974282469324,0.21732602010407287,2.684424613647045,2.103244604682356
EUU2017,EUU,European Union,,2017,33907.9967078219,414979000000.0,512191098.0,466939162.771455,498264000000.0,522620000.0,0.0,972.8087855209072,0.028689656717363655,794.0358195247024,0.0,inf,-0.16045920489065824,2.1616556297713303,0.21823209934808377,2.9215140003224156,2.231771998302827
ALB2000,ALB,Albania,Europe,2000,1126.68331762741,290000000.0,3089027.0,955000.0,398000000.0,317000.0,52.4846,128.84315999827777,0.11435614425320331,914.8264984227129,0.16557,5525.316,-0.3693750526360935,-0.32588287694481094,-0.256065168625775,-0.33912368277584876,-0.32005457050205954
ARM2000,ARM,Armenia,Europe,2000,622.742139063498,56000000.0,3069591.0,111000.0,52000000.0,45000.0,12.4214,16.94036762552405,0.027202860643089903,1244.4444444444443,0.27603,4508.367,-0.3725866780301207,-0.3272865409208787,-0.2560832758821101,-0.3408217267269705,-0.32467649072196975
AUT2000,AUT,Austria,Europe,2000,24564.4582948404,7001000000.0,8011566.0,7528000.0,11382000000.0,17982000.0,224.479,1420.6960287164832,0.05783543083524423,389.3337782226671,0.01248,31196.617,-0.2200057284010296,-0.2856265139388666,-0.2514791593907138,-0.22884446808259437,-0.2840594501164317
AZE2000,AZE,Azerbaijan,Europe,2000,655.097432602586,138000000.0,8048600.0,1326000.0,68000000.0,576000.0,50.5899,8.448674303605596,0.012896820966066851,239.58333333333334,0.08783,2727.808,-0.3723804772138718,-0.32679465867285495,-0.25144465722302933,-0.3375067953370968,-0.31802289704046394
BLR2000,BLR,Belarus,Europe,2000,1276.2880340999998,247000000.0,9979610.0,1289000.0,188000000.0,60000.0,71.7847,18.838411521091505,0.014760313516827564,4116.666666666667,1.19641,3440.849,-0.3684216193249701,-0.32614081519682336,-0.2496456608731791,-0.340728084597313,-0.31822551676574434
BEL2000,BEL,Belgium,Europe,2000,23041.534729042796,9429000000.0,10251250.0,7932000.0,6592000000.0,6457000.0,165.304,643.0435312766735,0.027908016494497943,1460.2756698157038,0.0256,57042.018,-0.22971134525698134,-0.2710620005461632,-0.24939259156309096,-0.30079283770273346,-0.28184706176472113
BGR2000,BGR,Bulgaria,Europe,2000,1609.88245178581,764000000.0,8170172.0,2337000.0,1364000000.0,2785000.0,68.5975,166.94874967136556,0.10370244702411203,274.326750448833,0.02463,11137.911,-0.36629561663116644,-0.3230395576086736,-0.2513313965023474,-0.3237164310428767,-0.3124864499523961
HRV2000,HRV,Croatia,Europe,2000,4849.52881598807,634000000.0,4468302.0,2357000.0,2871000000.0,5831000.0,108.948,642.525952811605,0.13249244971868326,108.72920596810152,0.01868,5820.621,-0.34564929723216453,-0.32381937092871127,-0.2547801878693627,-0.30470083591377095,-0.31237692577656884
CYP2000,CYP,Cyprus,Europe,2000,14388.3467029574,533379000.0,943290.0,588000.0,2098696000.0,2686000.0,33.6343,2224.868280168347,0.15462987694833935,198.57743857036485,0.01252,15860.818,-0.2848582544321038,-0.32442295243698444,-0.25806421214742353,-0.3243344690986158,-0.3220643391284897
CZE2000,CZE,Czech Republic,Europe,2000,6011.615220357011,1276000000.0,10255063.0,7213000.0,2973000000.0,4773000.0,269.61,289.905581272392,0.04822424101441,267.33710454640686,0.05649,4732.468,-0.3382433015225844,-0.31996829284052525,-0.2493890392391351,-0.3113057274589429,-0.285784455885711
DNK2000,DNK,Denmark,Europe,2000,30743.547681635402,4669000000.0,5339616.0,5011000.0,3671000000.0,3535000.0,63.7958,687.5026219113884,0.022362501199627873,1320.7920792079208,0.01805,73174.076,-0.18062629042148742,-0.2996151651875423,-0.2539684413193327,-0.3190343245600043,-0.2978430676442919
EST2000,EST,Estonia,Europe,2000,4075.9706385107106,253000000.0,1396985.0,1800000.0,657000000.0,1220000.0,27.0328,470.29853577525887,0.11538320009760862,207.37704918032787,0.02216,9358.17,-0.3505791961811321,-0.32610482381282163,-0.25764153404169376,-0.3334864265704704,-0.31542717407335796
FIN2000,FIN,Finland,Europe,2000,24285.4668205162,2293000000.0,5176209.0,5914000.0,2035000000.0,1971000.0,77.4007,393.14486721846043,0.016188483018425417,1163.3688483003552,0.03927,29624.875,-0.22178374564147438,-0.31386775325223065,-0.2541206769869574,-0.32879807727895416,-0.2928980511056913
FRA2000,FRA,France,Europe,2000,22364.0293943406,26703000000.0,60912500.0,19886000.0,38534000000.0,77190000.0,1301.02,632.6123537861687,0.028287047143045536,345.93859308200547,0.01685,20530.48,-0.23402909786398035,-0.16744280600515868,-0.20219480189403133,0.1407797461012836,-0.21638446187276994
